freq_MHz,e_00_real,e_00_imag,e_11_real,e_11_imag,delta_e_real,delta_e_imag
1885.000000,3.5936222653e-02,2.4959986176e-02,-6.9585569807e-02,8.3720968096e-02,-1.0728829355e-01,-2.0381387442e-01
1886.000000,3.4967005662e-02,2.7563839623e-02,-8.6006314566e-02,3.7927571776e-02,-9.7688227866e-02,-2.1302438735e-01
1887.000000,3.4787394801e-02,2.3511712314e-02,1.7849946102e-02,8.8019067239e-02,-1.0699656067e-01,-2.1965796215e-01
1888.000000,3.2744509682e-02,2.1363704457e-02,-6.5227502479e-02,1.7807693097e-01,-8.5437015037e-02,-2.1508333882e-01
1889.000000,3.9331281114e-02,2.3398165370e-02,-1.3184160879e-01,1.5674286752e-01,-9.4433106161e-02,-1.9159590222e-01
1890.000000,3.2864102013e-02,2.5460659380e-02,-5.1080107223e-02,5.2775887562e-02,-9.0053824156e-02,-2.0653298430e-01
1891.000000,3.3874123911e-02,2.4510861010e-02,-9.2967334610e-02,1.1836029112e-01,-8.3788934711e-02,-1.9739323801e-01
1892.000000,3.2774012544e-02,2.3932524552e-02,-8.5328667224e-02,1.1777175219e-01,-7.8415589118e-02,-1.9881928856e-01
1893.000000,3.2692023745e-02,2.4412685809e-02,-8.5810021044e-02,1.2312218170e-01,-7.6968706257e-02,-2.0046928377e-01
1894.000000,3.2928427985e-02,2.4174813671e-02,-8.7690677924e-02,1.2292409748e-01,-7.7017349747e-02,-1.9786157146e-01
1895.000000,3.2760549898e-02,2.4490853043e-02,-8.8970322049e-02,1.1960122265e-01,-7.3787046291e-02,-1.9919311700e-01
1896.000000,3.1669821733e-02,2.4349544624e-02,-8.9793648345e-02,1.1885414826e-01,-7.1861480761e-02,-2.0087498470e-01
1897.000000,3.2342430864e-02,2.4483364794e-02,-9.1540144445e-02,1.1713691330e-01,-7.3735414942e-02,-2.0028735732e-01
1898.000000,3.2722014318e-02,2.4822301832e-02,-8.0634177575e-02,1.3294864397e-01,-7.2116306109e-02,-2.0382858515e-01
1899.000000,3.1790431526e-02,2.4437569341e-02,-9.8035000109e-02,1.2405869561e-01,-7.1543721066e-02,-2.0105904693e-01
1900.000000,3.2365432740e-02,2.4463640537e-02,-9.2710981495e-02,1.3256876600e-01,-6.6238237509e-02,-2.0313128816e-01
1901.000000,3.2117852219e-02,2.4091059324e-02,-8.8901606445e-02,1.0698657305e-01,-6.8615481651e-02,-2.0426672079e-01
1902.000000,3.0906523284e-02,2.4749794404e-02,-9.6205398724e-02,1.2943713939e-01,-6.7139351116e-02,-2.0336855260e-01
1903.000000,3.2649442328e-02,2.3764191132e-02,-1.5039246175e-01,1.4073756209e-01,-6.8683824421e-02,-2.0010543016e-01
1904.000000,3.1341864791e-02,2.1420695152e-02,-7.8232147322e-02,9.4023820334e-02,-8.2656119313e-02,-2.0331960763e-01
1905.000000,3.5795215442e-02,2.7288184730e-02,-1.4509262427e-01,1.8804953899e-01,-7.4237649258e-02,-1.8612296970e-01
1906.000000,3.4264021267e-02,2.5030738046e-02,-3.3557553159e-01,2.2376564500e-01,-5.2734146549e-02,-1.3620049784e-01
1907.000000,3.3743170746e-02,2.4751522179e-02,-1.6339126912e-01,1.2227835004e-01,-8.9311186992e-02,-1.8599360468e-01
1908.000000,3.3659580451e-02,2.2839632208e-02,-1.3665990355e-01,9.4594442104e-02,-8.9903263184e-02,-2.0072297381e-01
1909.000000,3.2885297593e-02,2.2997652373e-02,-1.1051528551e-01,8.4967555505e-02,-9.5122593016e-02,-2.0793740864e-01
1911.000000,3.5215645716e-02,2.1135810674e-02,-2.0919943065e-01,1.9722372848e-02,-1.0928115127e-01,-1.9306683063e-01
1912.000000,3.4551939927e-02,2.5084306584e-02,-1.3737423028e-01,4.5141546721e-02,-9.5219106826e-02,-2.1854753556e-01
1913.000000,3.4246551673e-02,2.2565942007e-02,-1.7728756723e-01,3.3831160153e-02,-9.1326586184e-02,-1.9298604664e-01
1914.000000,3.2818487618e-02,2.0783236513e-02,-1.9099001755e-01,1.9994945725e-02,-8.1039211887e-02,-1.8643865578e-01
1915.000000,3.5021738541e-02,2.4946690523e-02,-2.7755246267e-01,-3.8871083943e-03,-9.4138567025e-02,-1.9657564840e-01
1916.000000,3.3318580892e-02,2.1126530450e-02,-1.5182587844e-01,1.2221368256e-01,-7.7344891963e-02,-2.0086438812e-01
