freq_rf_MHz,modulo_S11_dB,fase_S11_deg
795.000000,-9.6998,750.2990
796.000000,-9.7292,749.8392
797.000000,-9.7702,749.4952
798.000000,-9.8234,749.6534
799.000000,-3.7990,763.6624
801.000000,-0.8471,759.1157
802.000000,-1.3637,694.6123
803.000000,-9.0186,746.2191
804.000000,-9.0549,748.0275
805.000000,-9.4112,747.8477
806.000000,-10.0793,748.0174
807.000000,-9.9823,746.2048
808.000000,-9.8687,745.2081
809.000000,-9.8373,744.7483
810.000000,-9.8112,744.2303
811.000000,-9.8436,743.7795
812.000000,-9.8719,743.4778
813.000000,-9.8842,743.1056
814.000000,-10.0098,743.3577
815.000000,0.5456,712.4003
816.000000,1.0804,696.6593
817.000000,-3.5273,698.6132
818.000000,-3.8938,713.3874
819.000000,-9.6827,743.5975
820.000000,-10.0679,743.9435
821.000000,-10.0916,742.6287
822.000000,-10.2892,740.8124
823.000000,-10.0049,739.1621
824.000000,-9.8606,738.5626
825.000000,-9.8334,738.0620
826.000000,-9.8169,737.8235
827.000000,-9.8116,737.4666
828.000000,-9.7968,736.9315
829.000000,-9.8704,736.6098
830.000000,-10.1503,737.2843
831.000000,0.8248,701.8158
832.000000,-3.7159,718.1856
833.000000,-16.1138,778.9397
834.000000,1.5684,743.7357
835.000000,-9.6172,739.0598
836.000000,-10.3821,736.7436
837.000000,-10.3471,735.8900
838.000000,-10.1404,733.8204
839.000000,-9.8326,732.7010
840.000000,-9.7783,732.3537
841.000000,-9.7528,731.9215
842.000000,-9.7413,731.6612
843.000000,-9.7407,731.2147
844.000000,-9.7355,730.9766
845.000000,-9.7440,730.6058
846.000000,-9.7819,730.1587
847.000000,-9.8043,730.5319
848.000000,-5.9048,728.8379
849.000000,-7.8454,708.6084
851.000000,2.1889,684.8630
852.000000,-10.0779,729.9782
853.000000,-10.1260,728.8711
854.000000,-10.0405,727.9583
855.000000,-9.8197,726.7959
856.000000,-9.7701,726.2348
857.000000,-9.7773,725.9309
858.000000,-9.7723,725.6455
859.000000,-9.7708,725.2772
860.000000,-9.7686,725.0754
861.000000,-9.7731,724.4205
862.000000,-9.8138,724.0949
863.000000,-9.7816,723.9906
864.000000,-9.6548,723.4883
865.000000,-7.7791,732.4304
866.000000,-4.1901,703.3166
867.000000,-9.8231,722.2642
868.000000,2.8818,695.7035
869.000000,-9.8486,721.9208
870.000000,-10.1049,722.7276
871.000000,-10.0536,721.7023
872.000000,-9.8357,720.2528
873.000000,-9.8087,719.7597
874.000000,-9.8260,719.4070
875.000000,-9.8432,719.0103
876.000000,-9.8609,718.7539
877.000000,-9.8495,718.3006
878.000000,-9.8585,717.9389
879.000000,-9.8678,717.5568
880.000000,-9.8695,717.2413
881.000000,-9.8422,716.5268
882.000000,-9.7948,715.7390
883.000000,1.2564,701.3830
884.000000,-8.6155,721.9926
885.000000,-9.9423,715.0979
886.000000,0.6612,718.6071
887.000000,-9.9862,715.3435
888.000000,-10.1662,715.9251
889.000000,-10.1534,715.0627
890.000000,-10.0033,713.5100
891.000000,-9.9643,712.8200
892.000000,-9.9769,712.5089
893.000000,-9.9891,712.0970
894.000000,-9.9829,711.6505
895.000000,-9.9724,711.2564
896.000000,-9.9732,710.8360
